input_shapes,Hits,Samples,CPU time Us (sum)
"[[3,1,512],[1536,512],[1536]]",14602314.814815,31541,8904683796.2963
"[[76,1,768],[76,1,3072],[768,3072],[768]]",1046759.2592593,2261,8903032870.3704
"[[1,300],[1200,300],[1200]]",112505555.55556,243012,8901123611.1111
"[[69,1,768],[69,1,768],[3072,768],[3072]]",1170833.3333333,2529,8876747685.1852
"[[59,1,768],[59,1,3072],[768,3072],[768]]",1260648.1481481,2723,8845337500
"[[72,1,768],[72,1,768],[3072,768],[3072]]",1157407.4074074,2500,8755748148.1481
"[[79,1,768],[79,1,3072],[768,3072],[768]]",983333.33333333,2124,8731950462.963
"[[73,1,768],[73,1,768],[3072,768],[3072]]",1052777.7777778,2274,8722173611.1111
"[[80,1,768],[80,1,768],[3072,768],[3072]]",968518.51851852,2092,8717680092.5926
"[[63,1,768],[63,1,768],[3072,768],[3072]]",1226388.8888889,2649,8627335185.1852
"[[66,1,768],[66,1,768],[3072,768],[3072]]",1137962.962963,2458,8486714814.8148
"[[82,1,768],[82,1,768],[3072,768],[3072]]",943518.51851852,2038,8476109259.2593
"[[64,1,768],[64,1,768],[3072,768],[3072]]",1175462.962963,2539,8470409722.2222
"[[86,1,768],[86,1,3072],[768,3072],[768]]",895833.33333333,1935,8464925925.9259
"[[58,1,768],[58,1,768],[3072,768],[3072]]",1285185.1851852,2776,8422799537.037
"[[65,1,768],[65,1,3072],[768,3072],[768]]",1101851.8518519,2380,8363617592.5926
"[[71,1,768],[71,1,3072],[768,3072],[768]]",978703.7037037,2114,8339121296.2963
"[[75,1,768],[75,1,768],[3072,768],[3072]]",993518.51851852,2146,8339015740.7407
"[[256,1,768],[256,1,768],[3072,768],[3072]]",308796.2962963,667,8335353703.7037
"[[68,1,768],[68,1,768],[3072,768],[3072]]",1104166.6666667,2385,8277781481.4815
"[[55,1,768],[55,1,768],[3072,768],[3072]]",1288888.8888889,2784,8276075462.963
"[[83,1,768],[83,1,3072],[768,3072],[768]]",912500,1971,8250666203.7037
"[[68,1,768],[68,1,3072],[768,3072],[768]]",1051851.8518519,2272,8203727777.7778
"[[65,1,768],[65,1,768],[3072,768],[3072]]",1134722.2222222,2451,8169456018.5185
"[[256,1,512],[256,1,512],[2048,512],[2048]]",739351.85185185,1597,8128900462.963
"[[56,1,768],[56,1,3072],[768,3072],[768]]",1153703.7037037,2492,8123596759.2593
"[[72,1,768],[72,1,3072],[768,3072],[768]]",995833.33333333,2151,8076200462.963
"[[70,1,768],[70,1,768],[3072,768],[3072]]",1055092.5925926,2279,8074994907.4074
"[[74,1,768],[74,1,768],[3072,768],[3072]]",976851.85185185,2110,7941101851.8519
"[[],[],[1,10204],[2048,10204],[2048]]",800000,1728,7916537962.963
"[[77,1,768],[77,1,768],[3072,768],[3072]]",954629.62962963,2062,7828408333.3333
"[[94,1,768],[94,1,768],[3072,768],[3072]]",793981.48148148,1715,7748759722.2222
"[[17,260,96],[17,260,96],[96,96],[]]",3932870.3703704,8495,7735898611.1111
"[[16,384],[256,384],[256]]",52654166.666667,113733,7603191666.6667
"[[17,1,96],[17,260,96],[96,96],[]]",3718055.5555556,8031,7597053240.7407
"[[56,1,768],[56,1,768],[3072,768],[3072]]",1210185.1851852,2614,7592427777.7778
"[[84,1,768],[84,1,3072],[768,3072],[768]]",789814.81481481,1706,7563581944.4444
"[[78,1,768],[78,1,768],[3072,768],[3072]]",922222.22222222,1992,7534427777.7778
"[[67,1,768],[67,1,768],[3072,768],[3072]]",1007407.4074074,2176,7446440740.7407
"[[15,6488],[768,6488],[768]]",1186574.0740741,2563,7409468055.5556
"[[85,1,768],[85,1,768],[3072,768],[3072]]",803240.74074074,1735,7394671759.2593
"[[77,1,768],[77,1,3072],[768,3072],[768]]",874074.07407407,1888,7377679629.6296
"[[84,1,768],[84,1,768],[3072,768],[3072]]",853703.7037037,1844,7312287037.037
"[[59,1,768],[59,1,768],[3072,768],[3072]]",1119907.4074074,2419,7269617592.5926
"[[61,1,768],[61,1,768],[3072,768],[3072]]",1053703.7037037,2276,7250299537.037
"[[81,1,768],[81,1,768],[3072,768],[3072]]",855092.59259259,1847,7244143981.4815
"[[82,1,768],[82,1,3072],[768,3072],[768]]",812037.03703704,1754,7200850462.963
"[[87,1,768],[87,1,768],[3072,768],[3072]]",770370.37037037,1664,7167117592.5926
"[[90,1,768],[90,1,3072],[768,3072],[768]]",707407.40740741,1528,7124054166.6667
"[[],[],[1,256],[768,256],[768]]",55597685.185185,120091,7079066666.6667
"[[81,1,768],[81,1,3072],[768,3072],[768]]",765277.77777778,1653,7052601388.8889
"[[87,1,768],[87,1,3072],[768,3072],[768]]",749074.07407407,1618,6996683796.2963
"[[517,1,768],[517,1,768],[768,768],[768]]",581018.51851852,1255,6922794907.4074
"[[94,1,768],[94,1,3072],[768,3072],[768]]",668981.48148148,1445,6816329629.6296
"[[55,1,768],[55,1,3072],[768,3072],[768]]",1093981.4814815,2363,6755757870.3704
"[[89,1,768],[89,1,3072],[768,3072],[768]]",706018.51851852,1525,6670031018.5185
"[[98,1,768],[98,1,3072],[768,3072],[768]]",631481.48148148,1364,6645427314.8148
"[[97,1,768],[97,1,3072],[768,3072],[768]]",651388.88888889,1407,6640836574.0741
"[[85,1,768],[85,1,3072],[768,3072],[768]]",737962.96296296,1594,6622751851.8519
"[[86,1,768],[86,1,768],[3072,768],[3072]]",750000,1620,6542158333.3333
"[[79,1,768],[79,1,768],[3072,768],[3072]]",780555.55555556,1686,6468816203.7037
"[[71,1,768],[71,1,768],[3072,768],[3072]]",818055.55555556,1767,6452014814.8148
"[[88,1,768],[88,1,768],[3072,768],[3072]]",716203.7037037,1547,6430824074.0741
"[[108,1,768],[108,1,3072],[768,3072],[768]]",581944.44444444,1257,6422463888.8889
"[[91,1,768],[91,1,3072],[768,3072],[768]]",650000,1404,6411532870.3704
"[[102,1,768],[102,1,768],[3072,768],[3072]]",586111.11111111,1266,6382379629.6296
"[[17,768],[128,768],[128]]",50627777.777778,109356,6369718055.5556
"[[89,1,768],[89,1,768],[3072,768],[3072]]",673611.11111111,1455,6221802314.8148
"[[97,1,768],[97,1,768],[3072,768],[3072]]",598611.11111111,1293,6182462037.037
"[[111,1,768],[111,1,3072],[768,3072],[768]]",525000,1134,6158913425.9259
"[[92,1,768],[92,1,3072],[768,3072],[768]]",645833.33333333,1395,6145571296.2963
"[[92,1,768],[92,1,768],[3072,768],[3072]]",630092.59259259,1361,6045468055.5556
"[[],[],[1,517],[768,517],[768]]",27799074.074074,60046,6034322222.2222
"[[93,1,768],[93,1,768],[3072,768],[3072]]",619907.40740741,1339,6017062500
"[[96,1,768],[96,1,3072],[768,3072],[768]]",564814.81481481,1220,5980480092.5926
"[[96,1,768],[96,1,768],[3072,768],[3072]]",596296.2962963,1288,5972139814.8148
"[[75,1,768],[75,1,3072],[768,3072],[768]]",708333.33333333,1530,5933021759.2593
"[[105,1,768],[105,1,768],[3072,768],[3072]]",539814.81481481,1166,5919551851.8519
"[[102,1,768],[102,1,3072],[768,3072],[768]]",580555.55555556,1254,5904446759.2593
"[[99,1,768],[99,1,3072],[768,3072],[768]]",570833.33333333,1233,5852490277.7778
"[[18,6488],[768,6488],[768]]",889814.81481481,1922,5822884259.2593
"[[90,1,768],[90,1,768],[3072,768],[3072]]",620370.37037037,1340,5814783796.2963
"[[8,1,512],[2048,512],[2048]]",5420833.3333333,11709,5764343055.5556
"[[106,1,768],[106,1,3072],[768,3072],[768]]",525925.92592593,1136,5757281944.4444
"[[83,1,768],[83,1,768],[3072,768],[3072]]",627314.81481481,1355,5715693055.5556
"[[95,1,768],[95,1,768],[3072,768],[3072]]",584259.25925926,1262,5701137037.037
"[[105,1,768],[105,1,3072],[768,3072],[768]]",497222.22222222,1074,5636553703.7037
"[[93,1,768],[93,1,3072],[768,3072],[768]]",568981.48148148,1229,5574457870.3704
"[[2,1,512],[2048,512],[2048]]",6321759.2592593,13655,5568168518.5185
"[[],[],[],[1,256],[256,256],[256]]",290932870.37037,628415,5562552777.7778
"[[88,1,768],[88,1,3072],[768,3072],[768]]",593055.55555556,1281,5536310185.1852
"[[107,1,768],[107,1,3072],[768,3072],[768]]",483333.33333333,1044,5505325000
"[[2,1,512],[2,1,2048],[512,2048],[512]]",6671759.2592593,14411,5428078703.7037
"[[95,1,768],[95,1,3072],[768,3072],[768]]",492592.59259259,1064,5410675925.9259
"[[101,1,768],[101,1,3072],[768,3072],[768]]",493055.55555556,1065,5316534722.2222
"[[98,1,768],[98,1,768],[3072,768],[3072]]",508796.2962963,1099,5302314351.8519
"[[7,1,512],[2048,512],[2048]]",5351851.8518519,11560,5251824537.037
"[[512,7808],[165,7808],[165]]",170833.33333333,369,5243868518.5185
"[[104,1,768],[104,1,3072],[768,3072],[768]]",480092.59259259,1037,5199097685.1852
"[[101,1,768],[101,1,768],[3072,768],[3072]]",501388.88888889,1083,5182602314.8148
"[[100,1,768],[100,1,768],[3072,768],[3072]]",515740.74074074,1114,5094624537.037
"[[1,256],[128,256],[128]]",264450000,571212,5067587500
"[[114,1,768],[114,1,768],[3072,768],[3072]]",426851.85185185,922,5061212500
"[[100,1,768],[100,1,3072],[768,3072],[768]]",494444.44444444,1068,5059747222.2222
"[[1,768],[2304,768],[2304]]",6010648.1481481,12983,5051060648.1481
"[[99,1,768],[99,1,768],[3072,768],[3072]]",489351.85185185,1057,5008861574.0741
"[[17,7144],[768,7144],[768]]",707407.40740741,1528,5005656481.4815
"[[17,3125],[384,3125],[384]]",3206018.5185185,6925,4991165277.7778
"[[107,1,768],[107,1,768],[3072,768],[3072]]",458333.33333333,990,4977853703.7037
"[[104,1,768],[104,1,768],[3072,768],[3072]]",458333.33333333,990,4966871759.2593
"[[108,1,768],[108,1,768],[3072,768],[3072]]",450000,972,4939513888.8889
"[[91,1,768],[91,1,768],[3072,768],[3072]]",487962.96296296,1054,4900521296.2963
"[[123,1,768],[123,1,3072],[768,3072],[768]]",401851.85185185,868,4888327314.8148
"[[1,1024],[4096,1024],[4096]]",2869907.4074074,6199,4859474537.037
"[[110,1,768],[110,1,3072],[768,3072],[768]]",425000,918,4852363888.8889
"[[21,1,768],[21,1,3072],[768,3072],[768]]",1454166.6666667,3141,4726617129.6296
"[[113,1,768],[113,1,3072],[768,3072],[768]]",399537.03703704,863,4684583333.3333
"[[103,1,768],[103,1,3072],[768,3072],[768]]",437962.96296296,946,4683976851.8519
"[[117,1,768],[117,1,768],[3072,768],[3072]]",408796.2962963,883,4650293518.5185
"[[47,3380],[512,3380],[512]]",1324074.0740741,2860,4632904629.6296
"[[48,3380],[512,3380],[512]]",1312500,2835,4598832407.4074
"[[124,1,768],[124,1,3072],[768,3072],[768]]",367592.59259259,794,4564912500
"[[144,1,768],[144,1,3072],[768,3072],[768]]",295833.33333333,639,4559675925.9259
"[[110,1,768],[110,1,768],[3072,768],[3072]]",400462.96296296,865,4530471759.2593
"[[1024,1,320],[256,320],[256]]",1212500,2619,4470776851.8519
"[[114,1,768],[114,1,3072],[768,3072],[768]]",385648.14814815,833,4456230555.5556
"[[106,1,768],[106,1,768],[3072,768],[3072]]",407870.37037037,881,4444657870.3704
"[[7,1,2048],[512,2048],[512]]",4619907.4074074,9979,4442221296.2963
"[[116,1,768],[116,1,3072],[768,3072],[768]]",396759.25925926,857,4440506018.5185
"[[8,1,2048],[512,2048],[512]]",4312500,9315,4432879166.6667
"[[122,1,768],[122,1,3072],[768,3072],[768]]",347685.18518519,751,4419922222.2222
"[[128,1,768],[128,1,3072],[768,3072],[768]]",330092.59259259,713,4410592592.5926
"[[16,415],[256,415],[256]]",25620833.333333,55341,4390140740.7407
"[[112,1,768],[112,1,3072],[768,3072],[768]]",400925.92592593,866,4365860185.1852
"[[1,256],[768,256],[768]]",93949074.074074,202930,4352607407.4074
"[[49,3380],[512,3380],[512]]",1208333.3333333,2610,4323405092.5926
"[[103,1,768],[103,1,768],[3072,768],[3072]]",411574.07407407,889,4321327314.8148
"[[511,1,768],[511,1,3072],[768,3072],[768]]",100462.96296296,217,4318001851.8519
"[[120,1,768],[120,1,3072],[768,3072],[768]]",367129.62962963,793,4314415277.7778
"[[119,1,768],[119,1,768],[3072,768],[3072]]",364814.81481481,788,4312237500
"[[16,256],[16,152,24],[16,24,40],[16,128],[960,128],[960]]",24583333.333333,53100,4308311111.1111
"[[124,1,768],[124,1,768],[3072,768],[3072]]",343055.55555556,741,4306968055.5556
"[[10,1,512],[1536,512],[1536]]",5118055.5555556,11055,4297798148.1481
"[[109,1,768],[109,1,768],[3072,768],[3072]]",367592.59259259,794,4296938888.8889
"[[9,1,512],[2048,512],[2048]]",4141666.6666667,8946,4290925462.963
"[[1,128],[256,128],[256]]",208233796.2963,449785,4276731481.4815
"[[9,1,128],[9,1,128],[2048,128],[2048]]",15743055.555556,34005,4269259259.2593
"[[2,1,512],[1536,512],[1536]]",6168518.5185185,13324,4267617129.6296
"[[1,2048],[1024,2048],[1024]]",4647222.2222222,10038,4237221759.2593
"[[126,1,768],[126,1,768],[3072,768],[3072]]",336111.11111111,726,4236044907.4074
"[[256,1,768],[256,1,768],[768,768],[768]]",650000,1404,4234384722.2222
"[[139,1,768],[139,1,3072],[768,3072],[768]]",307407.40740741,664,4227211111.1111
"[[109,1,768],[109,1,3072],[768,3072],[768]]",351851.85185185,760,4216256944.4444
"[[8,1,512],[1536,512],[1536]]",5225925.9259259,11288,4201970370.3704
"[[132,1,768],[132,1,768],[3072,768],[3072]]",307407.40740741,664,4194582870.3704
"[[131,1,768],[131,1,3072],[768,3072],[768]]",332407.40740741,718,4175002777.7778
"[[145,1,768],[145,1,3072],[768,3072],[768]]",302314.81481481,653,4170993055.5556
"[[9,1,128],[9,1,2048],[128,2048],[128]]",16174537.037037,34937,4129578703.7037
"[[131,1,768],[131,1,768],[3072,768],[3072]]",331481.48148148,716,4121217129.6296
"[[122,1,768],[122,1,768],[3072,768],[3072]]",348611.11111111,753,4093545833.3333
"[[115,1,768],[115,1,3072],[768,3072],[768]]",333796.2962963,721,4069265740.7407
