input_shapes,Hits,Samples,CPU time Us (sum)
"[[21,1,768],[21,1,768],[3072,768],[3072]]",968055.55555556,2091,3167477314.8148
"[[125,1,768],[125,1,3072],[768,3072],[768]]",244907.40740741,529,3148558796.2963
"[[6,128],[128,128],[]]",163193518.51852,352498,3147174074.0741
"[[190,1,768],[190,1,768],[3072,768],[3072]]",183796.2962963,397,3141183796.2963
"[[3,1,512],[3,1,512],[512,512],[512]]",15168981.481481,32765,3128406481.4815
"[[189,1,768],[189,1,3072],[768,3072],[768]]",179166.66666667,387,3122450000
"[[138,1,768],[138,1,3072],[768,3072],[768]]",244444.44444444,528,3108565277.7778
"[[171,1,768],[171,1,3072],[768,3072],[768]]",195833.33333333,423,3105401388.8889
"[[191,1,768],[191,1,3072],[768,3072],[768]]",182407.40740741,394,3084036111.1111
"[[228,1,768],[228,1,768],[3072,768],[3072]]",146296.2962963,316,3076725925.9259
"[[6,1,512],[1536,512],[1536]]",4341203.7037037,9377,3062869444.4444
"[[141,1,768],[141,1,3072],[768,3072],[768]]",225925.92592593,488,3060600462.963
"[[172,1,768],[172,1,3072],[768,3072],[768]]",196296.2962963,424,3044393055.5556
"[[177,1,768],[177,1,3072],[768,3072],[768]]",189814.81481481,410,3034944444.4444
"[[143,1,768],[143,1,768],[3072,768],[3072]]",206481.48148148,446,3029098611.1111
"[[1,256],[256,256],[256]]",97397222.222222,210378,3027650925.9259
"[[256,1,768],[768,768],[768]]",484722.22222222,1047,3019615277.7778
"[[135,1,768],[135,1,3072],[768,3072],[768]]",238888.88888889,516,3005806018.5185
"[[1,160],[640,160],[640]]",134597685.18519,290731,3003414814.8148
"[[183,1,768],[183,1,768],[3072,768],[3072]]",177777.77777778,384,2992211111.1111
"[[22,1,768],[22,1,768],[3072,768],[3072]]",877314.81481481,1895,2991485648.1481
"[[511,1,768],[2304,768],[2304]]",90740.740740741,196,2977701851.8519
"[[3,1,768],[3,1,768],[768,768],[768]]",6509722.2222222,14061,2964047685.1852
"[[157,1,768],[157,1,768],[3072,768],[3072]]",202777.77777778,438,2950770370.3704
"[[159,1,768],[159,1,3072],[768,3072],[768]]",198148.14814815,428,2944893518.5185
"[[205,1,768],[205,1,3072],[768,3072],[768]]",148611.11111111,321,2935075000
"[[148,1,768],[148,1,3072],[768,3072],[768]]",209259.25925926,452,2933201851.8519
"[[170,1,768],[170,1,3072],[768,3072],[768]]",175000,378,2923228240.7407
"[[192,1,768],[192,1,3072],[768,3072],[768]]",144907.40740741,313,2907440740.7407
"[[44,3380],[512,3380],[512]]",858796.2962963,1855,2889773611.1111
"[[150,1,768],[150,1,768],[3072,768],[3072]]",196296.2962963,424,2884902777.7778
"[[159,1,768],[159,1,768],[3072,768],[3072]]",175462.96296296,379,2858393981.4815
"[[6,1,2048],[512,2048],[512]]",3269907.4074074,7063,2853082407.4074
"[[],[],[1,1024],[256,1024],[256]]",21394444.444444,46212,2848203703.7037
"[[121,1,768],[121,1,768],[3072,768],[3072]]",251388.88888889,543,2847699537.037
"[[142,1,768],[142,1,768],[3072,768],[3072]]",190740.74074074,412,2819352777.7778
"[[158,1,768],[158,1,3072],[768,3072],[768]]",187500,405,2814967129.6296
"[[144,1,768],[144,1,768],[3072,768],[3072]]",200000,432,2810077777.7778
"[[256,1,768],[1152,768],[1152]]",258333.33333333,558,2805693981.4815
"[[218,1,768],[218,1,768],[3072,768],[3072]]",125000,270,2793115740.7407
"[[1,192],[768,192],[768]]",65629629.62963,141760,2791584259.2593
"[[29,6488],[768,6488],[768]]",317592.59259259,686,2786172222.2222
"[[155,1,768],[155,1,768],[3072,768],[3072]]",183333.33333333,396,2784616203.7037
"[[199,1,768],[199,1,3072],[768,3072],[768]]",157870.37037037,341,2781687962.963
"[[175,1,768],[175,1,3072],[768,3072],[768]]",164814.81481481,356,2761738425.9259
"[[163,1,768],[163,1,3072],[768,3072],[768]]",179166.66666667,387,2761181944.4444
"[[129,1,256],[256,256],[256]]",7253703.7037037,15668,2755063888.8889
"[[164,1,768],[164,1,3072],[768,3072],[768]]",185185.18518519,400,2751865277.7778
"[[51,1,768],[512,768],[512]]",2753703.7037037,5948,2744901388.8889
"[[148,1,768],[148,1,768],[3072,768],[3072]]",201388.88888889,435,2724913425.9259
"[[187,1,768],[187,1,768],[3072,768],[3072]]",150925.92592593,326,2721146759.2593
"[[23,1,768],[23,1,3072],[768,3072],[768]]",783796.2962963,1693,2720022685.1852
"[[213,1,768],[213,1,3072],[768,3072],[768]]",116203.7037037,251,2717219907.4074
"[[198,1,768],[198,1,3072],[768,3072],[768]]",137962.96296296,298,2691318981.4815
"[[176,1,768],[176,1,768],[3072,768],[3072]]",147222.22222222,318,2682103703.7037
"[[1,2816],[1024,2816],[1024]]",1704166.6666667,3681,2681995370.3704
"[[137,1,768],[137,1,768],[3072,768],[3072]]",208333.33333333,450,2678402314.8148
"[[256,1,256],[256,256],[256]]",3538888.8888889,7644,2674142129.6296
"[[184,1,768],[184,1,3072],[768,3072],[768]]",162962.96296296,352,2673884722.2222
"[[203,1,768],[203,1,3072],[768,3072],[768]]",143981.48148148,311,2666459259.2593
"[[193,1,768],[193,1,768],[3072,768],[3072]]",147685.18518519,319,2662306018.5185
"[[160,1,768],[160,1,768],[3072,768],[3072]]",175000,378,2645512037.037
"[[191,1,768],[191,1,768],[3072,768],[3072]]",133333.33333333,288,2630403703.7037
"[[170,1,768],[170,1,768],[3072,768],[3072]]",159259.25925926,344,2629245833.3333
"[[51,1,768],[51,1,512],[768,512],[768]]",2650925.9259259,5726,2616566203.7037
"[[209,1,768],[209,1,3072],[768,3072],[768]]",119907.40740741,259,2614376851.8519
"[[207,1,768],[207,1,768],[3072,768],[3072]]",136111.11111111,294,2585471296.2963
"[[168,1,768],[168,1,768],[3072,768],[3072]]",170370.37037037,368,2585298611.1111
"[[142,1,768],[142,1,3072],[768,3072],[768]]",183796.2962963,397,2583443055.5556
"[[53,1,768],[53,1,768],[3072,768],[3072]]",401851.85185185,868,2582826388.8889
"[[48,512],[3380,512],[3380]]",732407.40740741,1582,2574919907.4074
"[[178,1,768],[178,1,768],[3072,768],[3072]]",157870.37037037,341,2574134259.2593
"[[47,512],[3380,512],[3380]]",731481.48148148,1580,2573610648.1481
"[[1,2048],[6705,2048],[6705]]",434259.25925926,938,2571056481.4815
"[[127,1,768],[127,1,768],[3072,768],[3072]]",208796.2962963,451,2558271296.2963
"[[187,1,768],[187,1,3072],[768,3072],[768]]",117592.59259259,254,2556405555.5556
"[[196,1,768],[196,1,768],[3072,768],[3072]]",143518.51851852,310,2555305092.5926
"[[129,1,768],[129,1,768],[3072,768],[3072]]",190740.74074074,412,2542014814.8148
"[[149,1,768],[149,1,768],[3072,768],[3072]]",174537.03703704,377,2541730092.5926
"[[136,1,768],[136,1,768],[3072,768],[3072]]",197222.22222222,426,2536249537.037
"[[10,1,2048],[512,2048],[512]]",2442592.5925926,5276,2535622685.1852
"[[161,1,768],[161,1,768],[3072,768],[3072]]",168981.48148148,365,2535145833.3333
"[[154,1,768],[154,1,3072],[768,3072],[768]]",170370.37037037,368,2526371759.2593
"[[173,1,768],[173,1,3072],[768,3072],[768]]",151388.88888889,327,2524034259.2593
"[[2,1,300],[512,300],[512]]",23379166.666667,50499,2522360648.1481
"[[165,1,768],[165,1,3072],[768,3072],[768]]",163888.88888889,354,2519170370.3704
"[[],[],[],[1,256],[128,256],[128]]",189448611.11111,409209,2507993518.5185
"[[202,1,768],[202,1,3072],[768,3072],[768]]",147222.22222222,318,2494748611.1111
"[[43,3380],[512,3380],[512]]",734722.22222222,1587,2468128240.7407
"[[17,864],[768,864],[768]]",3587037.037037,7748,2467168518.5185
"[[220,1,768],[220,1,768],[3072,768],[3072]]",118055.55555556,255,2465679166.6667
"[[194,1,768],[194,1,3072],[768,3072],[768]]",143981.48148148,311,2459610648.1481
"[[],[],[1,1024],[1024,1024],[1024]]",5064351.8518519,10939,2455238425.9259
"[[180,1,768],[180,1,768],[3072,768],[3072]]",146759.25925926,317,2455145833.3333
"[[165,1,768],[165,1,768],[3072,768],[3072]]",168518.51851852,364,2449902777.7778
"[[256,16,768],[256,16,3072],[768,3072],[768]]",11574.074074074,25,2449408333.3333
"[[153,1,768],[153,1,768],[3072,768],[3072]]",170833.33333333,369,2435383796.2963
"[[198,1,768],[198,1,768],[3072,768],[3072]]",135185.18518519,292,2431674074.0741
"[[167,1,768],[167,1,3072],[768,3072],[768]]",159722.22222222,345,2418312037.037
"[[160,1,768],[160,1,3072],[768,3072],[768]]",156481.48148148,338,2406943518.5185
"[[171,1,768],[171,1,768],[3072,768],[3072]]",141666.66666667,306,2398406944.4444
"[[156,1,768],[156,1,768],[3072,768],[3072]]",161111.11111111,348,2397259259.2593
"[[230,1,768],[230,1,3072],[768,3072],[768]]",116666.66666667,252,2392531018.5185
"[[194,1,768],[194,1,768],[3072,768],[3072]]",124537.03703704,269,2391875000
"[[344,1,768],[344,1,3072],[768,3072],[768]]",80555.555555556,174,2386006018.5185
"[[205,1,768],[205,1,768],[3072,768],[3072]]",109722.22222222,237,2384562500
"[[200,1,768],[200,1,3072],[768,3072],[768]]",119444.44444444,258,2384280092.5926
"[[224,1,768],[224,1,3072],[768,3072],[768]]",97222.222222222,210,2381483333.3333
"[[176,1,768],[176,1,3072],[768,3072],[768]]",148148.14814815,320,2375872685.1852
"[[256,1,1024],[3072,1024],[3072]]",78703.703703704,170,2374065740.7407
"[[154,1,768],[154,1,768],[3072,768],[3072]]",165740.74074074,358,2367786574.0741
"[[167,1,768],[167,1,768],[3072,768],[3072]]",156481.48148148,338,2361850462.963
"[[42,3380],[512,3380],[512]]",730555.55555556,1578,2351666203.7037
"[[151,1,768],[151,1,3072],[768,3072],[768]]",163888.88888889,354,2344549074.0741
"[[25,1,768],[25,1,3072],[768,3072],[768]]",643518.51851852,1390,2333993055.5556
"[[511,1,768],[3072,768],[3072]]",52314.814814815,113,2325043055.5556
"[[140,1,768],[140,1,3072],[768,3072],[768]]",175925.92592593,380,2324220370.3704
"[[272,1,768],[272,1,3072],[768,3072],[768]]",94444.444444444,204,2285988425.9259
"[[197,1,768],[197,1,3072],[768,3072],[768]]",126388.88888889,273,2269245370.3704
"[[16,417],[128,417],[128]]",25776851.851852,55678,2267387962.963
"[[1,256,1024],[150,1024],[150]]",1081944.4444444,2337,2263019907.4074
"[[169,1,768],[169,1,3072],[768,3072],[768]]",141203.7037037,305,2253261574.0741
"[[219,1,768],[219,1,768],[3072,768],[3072]]",113425.92592593,245,2252018055.5556
"[[238,1,768],[238,1,768],[3072,768],[3072]]",76388.888888889,165,2236975000
"[[232,1,768],[232,1,3072],[768,3072],[768]]",107870.37037037,233,2235615740.7407
"[[206,1,768],[206,1,3072],[768,3072],[768]]",115740.74074074,250,2229753240.7407
"[[181,1,768],[181,1,3072],[768,3072],[768]]",106018.51851852,229,2229468518.5185
"[[182,1,768],[182,1,768],[3072,768],[3072]]",128703.7037037,278,2217863888.8889
"[[152,1,768],[152,1,768],[3072,768],[3072]]",168055.55555556,363,2215791203.7037
"[[244,1,768],[244,1,768],[3072,768],[3072]]",101388.88888889,219,2212362962.963
"[[173,1,768],[173,1,768],[3072,768],[3072]]",135648.14814815,293,2210131944.4444
"[[153,1,768],[153,1,3072],[768,3072],[768]]",150462.96296296,325,2201982407.4074
"[[188,1,768],[188,1,768],[3072,768],[3072]]",130555.55555556,282,2201716666.6667
"[[24,1,768],[24,1,3072],[768,3072],[768]]",614814.81481481,1328,2192607407.4074
"[[26,1,768],[26,1,3072],[768,3072],[768]]",545833.33333333,1179,2187552777.7778
"[[174,1,768],[174,1,3072],[768,3072],[768]]",132407.40740741,286,2185472222.2222
"[[31,1,768],[31,1,3072],[768,3072],[768]]",484259.25925926,1046,2182818518.5185
"[[28,1,768],[28,1,3072],[768,3072],[768]]",542592.59259259,1172,2179334722.2222
"[[256,1,16],[600,16],[600]]",11724537.037037,25325,2178330092.5926
"[[193,1,768],[193,1,3072],[768,3072],[768]]",124537.03703704,269,2176458333.3333
"[[162,1,768],[162,1,768],[3072,768],[3072]]",134722.22222222,291,2169251851.8519
"[[217,1,768],[217,1,3072],[768,3072],[768]]",116666.66666667,252,2162480092.5926
"[[412,1,768],[412,1,3072],[768,3072],[768]]",39814.814814815,86,2162225462.963
"[[163,1,768],[163,1,768],[3072,768],[3072]]",133333.33333333,288,2152189351.8519
"[[178,1,768],[178,1,3072],[768,3072],[768]]",135648.14814815,293,2142873148.1481
"[[223,1,768],[223,1,3072],[768,3072],[768]]",103240.74074074,223,2140046759.2593
"[[166,1,768],[166,1,3072],[768,3072],[768]]",133333.33333333,288,2131242592.5926
"[[234,1,768],[234,1,768],[3072,768],[3072]]",93981.481481481,203,2127966203.7037
"[[195,1,768],[195,1,768],[3072,768],[3072]]",118518.51851852,256,2114927777.7778
"[[203,1,768],[203,1,768],[3072,768],[3072]]",113888.88888889,246,2114725925.9259
"[[185,1,768],[185,1,3072],[768,3072],[768]]",123611.11111111,267,2102273611.1111
"[[280,1,768],[280,1,3072],[768,3072],[768]]",79629.62962963,172,2100704166.6667
"[[16,408],[128,408],[128]]",23684259.259259,51158,2099718981.4815
"[[3,1,300],[1024,300],[1024]]",11690277.777778,25251,2093618518.5185
"[[1,128],[64,128],[64]]",155813425.92593,336557,2092473148.1481
"[[258,1,768],[258,1,768],[3072,768],[3072]]",91203.703703704,197,2089812962.963
"[[190,1,768],[190,1,3072],[768,3072],[768]]",124537.03703704,269,2084901388.8889
"[[189,1,768],[189,1,768],[3072,768],[3072]]",122685.18518519,265,2080923148.1481
"[[19,1,768],[19,1,3072],[768,3072],[768]]",624074.07407407,1348,2078815740.7407
"[[11,1,512],[2048,512],[2048]]",1884259.2592593,4070,2070683333.3333
"[[175,1,768],[175,1,768],[3072,768],[3072]]",122685.18518519,265,2062962037.037
"[[204,1,768],[204,1,3072],[768,3072],[768]]",104629.62962963,226,2057370833.3333
"[[1,512],[4994,512],[4994]]",1518518.5185185,3280,2050522222.2222
"[[201,1,768],[201,1,3072],[768,3072],[768]]",104166.66666667,225,2046714351.8519
"[[166,1,768],[166,1,768],[3072,768],[3072]]",128240.74074074,277,2037552314.8148
"[[49,512],[3380,512],[3380]]",562962.96296296,1216,2035763888.8889
"[[195,1,768],[195,1,3072],[768,3072],[768]]",109259.25925926,236,2024778240.7407
"[[336,1,768],[336,1,768],[3072,768],[3072]]",55092.592592593,119,2019528240.7407
"[[200,1,768],[200,1,768],[3072,768],[3072]]",117592.59259259,254,2016632870.3704
"[[209,1,768],[209,1,768],[3072,768],[3072]]",110648.14814815,239,2004668055.5556
"[[164,1,768],[164,1,768],[3072,768],[3072]]",132407.40740741,286,2000022222.2222
"[[204,1,768],[204,1,768],[3072,768],[3072]]",111111.11111111,240,1999694907.4074
"[[46,512],[3380,512],[3380]]",566666.66666667,1224,1998579166.6667
"[[15,3125],[384,3125],[384]]",1318055.5555556,2847,1994263425.9259
"[[214,1,768],[214,1,3072],[768,3072],[768]]",101851.85185185,220,1987756944.4444
"[[401,1,768],[401,1,768],[3072,768],[3072]]",50925.925925926,110,1984273148.1481
"[[145,1,768],[145,1,768],[3072,768],[3072]]",142129.62962963,307,1982304166.6667
"[[352,1,768],[352,1,768],[3072,768],[3072]]",53240.740740741,115,1981021759.2593
"[[225,1,768],[225,1,768],[3072,768],[3072]]",97685.185185185,211,1980720833.3333
"[[235,1,768],[235,1,3072],[768,3072],[768]]",88425.925925926,191,1978569907.4074
"[[180,1,768],[180,1,3072],[768,3072],[768]]",121759.25925926,263,1975842129.6296
"[[25,6488],[768,6488],[768]]",230092.59259259,497,1973517592.5926
"[[196,1,768],[196,1,3072],[768,3072],[768]]",107870.37037037,233,1973100462.963
"[[269,1,768],[269,1,3072],[768,3072],[768]]",80092.592592593,173,1970075925.9259
"[[221,1,768],[221,1,3072],[768,3072],[768]]",99537.037037037,215,1967327314.8148
"[[199,1,768],[199,1,768],[3072,768],[3072]]",87962.962962963,190,1963646296.2963
"[[300,1,768],[300,1,3072],[768,3072],[768]]",73148.148148148,158,1958750000
"[[139,1,768],[139,1,768],[3072,768],[3072]]",134722.22222222,291,1948779629.6296
"[[2000,1,288],[1344,288],[1344]]",64814.814814815,140,1945043055.5556
"[[20,1,768],[20,1,768],[3072,768],[3072]]",610185.18518519,1318,1943958796.2963
"[[1024,1,128],[256,128],[256]]",1206481.4814815,2606,1941992129.6296
"[[183,1,768],[183,1,3072],[768,3072],[768]]",116203.7037037,251,1938523148.1481
"[[206,1,768],[206,1,768],[3072,768],[3072]]",90740.740740741,196,1936327314.8148
"[[185,1,768],[185,1,768],[3072,768],[3072]]",114351.85185185,247,1931002314.8148
"[[],[],[1,512],[256,512],[256]]",30475462.962963,65827,1928904629.6296
"[[1,164],[656,164],[656]]",73837037.037037,159488,1923743518.5185
"[[208,1,768],[208,1,768],[3072,768],[3072]]",112962.96296296,244,1920032407.4074
"[[296,1,768],[296,1,3072],[768,3072],[768]]",74537.037037037,161,1919321759.2593
"[[246,1,768],[246,1,3072],[768,3072],[768]]",84722.222222222,183,1919256018.5185
"[[6,1,300],[512,300],[512]]",14701388.888889,31755,1916817592.5926
"[[228,1,768],[228,1,3072],[768,3072],[768]]",95370.37037037,206,1915363425.9259
"[[291,1,768],[291,1,3072],[768,3072],[768]]",73611.111111111,159,1914616666.6667
"[[512,1,768],[512,1,768],[768,768],[768]]",174537.03703704,377,1909454166.6667
"[[218,1,768],[218,1,3072],[768,3072],[768]]",98611.111111111,213,1908392592.5926
"[[27,6488],[768,6488],[768]]",218981.48148148,473,1899153240.7407
"[[192,1,768],[192,1,768],[3072,768],[3072]]",102777.77777778,222,1893846296.2963
"[[17,128],[17,3648],[128,3648],[128]]",3667592.5925926,7922,1892481481.4815
"[[179,1,768],[179,1,3072],[768,3072],[768]]",118518.51851852,256,1890729166.6667
"[[314,1,768],[314,1,3072],[768,3072],[768]]",69444.444444444,150,1886129166.6667
"[[157,1,768],[157,1,3072],[768,3072],[768]]",131481.48148148,284,1882977777.7778
"[[262,1,768],[262,1,3072],[768,3072],[768]]",72685.185185185,157,1880662962.963
"[[1,240],[960,240],[960]]",40102777.777778,86622,1865883333.3333
"[[],[],[1,256],[128,256],[128]]",73544444.444444,158856,1855304166.6667
"[[5,1,512],[2048,512],[2048]]",2145833.3333333,4635,1851637962.963
"[[10,1,256],[10,1,256],[1024,256],[1024]]",6285648.1481481,13577,1848884259.2593
"[[26,6488],[768,6488],[768]]",232407.40740741,502,1848681481.4815
"[[277,1,768],[277,1,3072],[768,3072],[768]]",75462.962962963,163,1844839814.8148
"[[260,1,768],[260,1,3072],[768,3072],[768]]",85185.185185185,184,1841797222.2222
"[[242,1,768],[242,1,3072],[768,3072],[768]]",76851.851851852,166,1841698611.1111
"[[227,1,768],[227,1,768],[3072,768],[3072]]",96759.259259259,209,1837702314.8148
"[[240,1,768],[240,1,768],[3072,768],[3072]]",81018.518518519,175,1834682870.3704
"[[27,1,768],[27,1,3072],[768,3072],[768]]",463425.92592593,1001,1834678240.7407
"[[3,1,300],[512,300],[512]]",16509722.222222,35661,1834621759.2593
"[[10,1,256],[10,1,1024],[256,1024],[256]]",6525000,14094,1834568055.5556
"[[27,1,768],[27,1,768],[3072,768],[3072]]",373148.14814815,806,1832024074.0741
"[[29,1,768],[29,1,3072],[768,3072],[768]]",442129.62962963,955,1831757870.3704
"[[255,1,768],[255,1,3072],[768,3072],[768]]",83796.296296296,181,1824386111.1111
"[[263,1,768],[263,1,3072],[768,3072],[768]]",71759.259259259,155,1820556944.4444
"[[265,1,768],[265,1,768],[3072,768],[3072]]",77777.777777778,168,1814431944.4444
"[[222,1,768],[222,1,768],[3072,768],[3072]]",84259.259259259,182,1806514351.8519
"[[321,1,768],[321,1,768],[3072,768],[3072]]",65277.777777778,141,1801880555.5556
"[[36,1,768],[3072,768],[3072]]",337037.03703704,728,1800388425.9259
"[[169,1,768],[169,1,768],[3072,768],[3072]]",114814.81481481,248,1779180092.5926
"[[2,1,768],[3072,768],[3072]]",948611.11111111,2049,1778889814.8148
"[[237,1,768],[237,1,3072],[768,3072],[768]]",83333.333333333,180,1770771296.2963
"[[339,1,768],[339,1,3072],[768,3072],[768]]",57870.37037037,125,1770748611.1111
"[[241,1,768],[241,1,3072],[768,3072],[768]]",85185.185185185,184,1765862962.963
"[[54,1,768],[54,1,512],[768,512],[768]]",1714814.8148148,3704,1761943055.5556
"[[222,1,768],[222,1,3072],[768,3072],[768]]",83796.296296296,181,1755954166.6667
"[[37,1,768],[37,1,3072],[768,3072],[768]]",353240.74074074,763,1748448611.1111
"[[233,1,768],[233,1,3072],[768,3072],[768]]",64351.851851852,139,1744875462.963
"[[11,1,512],[1536,512],[1536]]",2105092.5925926,4547,1740537037.037
"[[216,1,768],[216,1,3072],[768,3072],[768]]",84259.259259259,182,1737621296.2963
"[[50,3380],[512,3380],[512]]",460648.14814815,995,1723842129.6296
"[[247,1,768],[247,1,3072],[768,3072],[768]]",61111.111111111,132,1721070833.3333
"[[236,1,768],[236,1,3072],[768,3072],[768]]",82870.37037037,179,1719581944.4444
"[[1,100],[400,100],[400]]",109535185.18519,236596,1717059259.2593
"[[223,1,768],[223,1,768],[3072,768],[3072]]",77314.814814815,167,1716571759.2593
"[[210,1,768],[210,1,768],[3072,768],[3072]]",89351.851851852,193,1714769907.4074
"[[45,512],[3380,512],[3380]]",510185.18518519,1102,1712030555.5556
"[[259,1,768],[259,1,3072],[768,3072],[768]]",77314.814814815,167,1704486111.1111
"[[162,1,768],[162,1,3072],[768,3072],[768]]",111111.11111111,240,1696009259.2593
"[[257,1,4096],[1024,4096],[1024]]",52314.814814815,113,1695523611.1111
"[[128,1,512],[1536,512],[1536]]",363425.92592593,785,1693093981.4815
"[[212,1,768],[212,1,3072],[768,3072],[768]]",90740.740740741,196,1692787962.963
"[[1,768,52],[128,52],[]]",7310648.1481481,15791,1688916203.7037
"[[244,1,768],[244,1,3072],[768,3072],[768]]",81944.444444444,177,1688687500
"[[17,384],[256,384],[256]]",11374537.037037,24569,1687146759.2593
"[[1,656],[1968,656],[1968]]",4543981.4814815,9815,1684130092.5926
"[[172,1,768],[172,1,768],[3072,768],[3072]]",93981.481481481,203,1677894444.4444
"[[12,1,512],[2048,512],[2048]]",1408333.3333333,3042,1675868981.4815
"[[57,1,768],[512,768],[512]]",1578240.7407407,3409,1674510648.1481
"[[22,6488],[768,6488],[768]]",212037.03703704,458,1669052314.8148
"[[16,256],[128,256],[128]]",27938888.888889,60348,1668235185.1852
"[[32,1,768],[32,1,3072],[768,3072],[768]]",365740.74074074,790,1667935185.1852
"[[45,1,768],[45,1,3072],[768,3072],[768]]",308333.33333333,666,1666483333.3333
"[[232,1,768],[232,1,768],[3072,768],[3072]]",75925.925925926,164,1663687500
"[[375,1,768],[375,1,3072],[768,3072],[768]]",53240.740740741,115,1663386111.1111
"[[161,1,768],[161,1,3072],[768,3072],[768]]",107407.40740741,232,1662792592.5926
"[[23,1,768],[23,1,768],[3072,768],[3072]]",487962.96296296,1054,1658360648.1481
"[[54,1,768],[512,768],[512]]",1610648.1481481,3479,1648399537.037
"[[42,1,768],[42,1,3072],[768,3072],[768]]",303240.74074074,655,1645286574.0741
"[[226,1,768],[226,1,3072],[768,3072],[768]]",81944.444444444,177,1642115740.7407
"[[234,1,768],[234,1,3072],[768,3072],[768]]",77777.777777778,168,1640887962.963
"[[350,1,768],[350,1,768],[3072,768],[3072]]",43518.518518519,94,1640602777.7778
"[[],[],[1,1120],[512,1120],[512]]",10163888.888889,21954,1638855092.5926
"[[235,1,768],[235,1,768],[3072,768],[3072]]",72685.185185185,157,1637764814.8148
"[[319,1,768],[319,1,768],[3072,768],[3072]]",57407.407407407,124,1636213425.9259
"[[349,1,768],[349,1,3072],[768,3072],[768]]",55555.555555556,120,1632148148.1481
"[[317,1,768],[317,1,768],[3072,768],[3072]]",56018.518518519,121,1631908333.3333
"[[288,1,768],[288,1,3072],[768,3072],[768]]",67592.592592593,146,1627346296.2963
"[[502,1,768],[502,1,768],[3072,768],[3072]]",38425.925925926,83,1623649537.037
"[[257,1,1024],[4096,1024],[4096]]",51388.888888889,111,1623431481.4815
"[[],[],[1,2048],[2048,2048],[2048]]",833796.2962963,1801,1622942129.6296
"[[35,1,768],[35,1,3072],[768,3072],[768]]",370370.37037037,800,1618161111.1111
"[[289,1,768],[289,1,768],[3072,768],[3072]]",48611.111111111,105,1614306018.5185
"[[71,1,768],[3072,768],[3072]]",201388.88888889,435,1609948148.1481
"[[30,1,768],[30,1,3072],[768,3072],[768]]",404166.66666667,873,1607694907.4074
"[[186,1,768],[186,1,3072],[768,3072],[768]]",94907.407407407,205,1604822685.1852
"[[268,1,768],[268,1,3072],[768,3072],[768]]",72222.222222222,156,1601074537.037
"[[215,1,768],[215,1,3072],[768,3072],[768]]",78703.703703704,170,1600873148.1481
"[[34,1,768],[34,1,3072],[768,3072],[768]]",356944.44444444,771,1600479166.6667
"[[57,1,768],[57,1,512],[768,512],[768]]",1520370.3703704,3284,1598709722.2222
"[[211,1,768],[211,1,3072],[768,3072],[768]]",81481.481481481,176,1597468055.5556
"[[31,1,768],[3072,768],[3072]]",355092.59259259,767,1589593055.5556
"[[473,1,768],[473,1,768],[3072,768],[3072]]",26851.851851852,58,1587452777.7778
"[[26,1,768],[3072,768],[3072]]",391203.7037037,845,1585237037.037
"[[19,6488],[768,6488],[768]]",214351.85185185,463,1583999537.037
"[[24,6488],[768,6488],[768]]",197685.18518519,427,1576967129.6296
"[[66,1,768],[512,768],[512]]",1358333.3333333,2934,1572619444.4444
"[[208,1,768],[208,1,3072],[768,3072],[768]]",79166.666666667,171,1561792129.6296
"[[315,1,768],[315,1,3072],[768,3072],[768]]",57407.407407407,124,1561277777.7778
"[[337,1,768],[337,1,768],[3072,768],[3072]]",54629.62962963,118,1560110185.1852
"[[179,1,768],[179,1,768],[3072,768],[3072]]",97222.222222222,210,1558533333.3333
"[[184,1,768],[184,1,768],[3072,768],[3072]]",95833.333333333,207,1558128703.7037
"[[390,1,768],[390,1,3072],[768,3072],[768]]",41203.703703704,89,1555833796.2963
"[[174,1,768],[174,1,768],[3072,768],[3072]]",94907.407407407,205,1553925925.9259
"[[1,30],[120,30],[120]]",140959259.25926,304472,1551267129.6296
"[[32,1,768],[3072,768],[3072]]",315740.74074074,682,1550512500
"[[12,1,512],[1536,512],[1536]]",1787962.962963,3862,1549662037.037
"[[369,1,768],[369,1,768],[3072,768],[3072]]",50000,108,1547455092.5926
"[[11,1,2048],[512,2048],[512]]",1444444.4444444,3120,1541755555.5556
"[[266,1,768],[266,1,3072],[768,3072],[768]]",72685.185185185,157,1537573611.1111
"[[229,1,768],[229,1,3072],[768,3072],[768]]",71296.296296296,154,1536581018.5185
"[[181,1,768],[181,1,768],[3072,768],[3072]]",93981.481481481,203,1532970833.3333
"[[253,1,768],[253,1,3072],[768,3072],[768]]",68055.555555556,147,1532543055.5556
"[[220,1,768],[220,1,3072],[768,3072],[768]]",81944.444444444,177,1530637037.037
"[[67,1,768],[512,768],[512]]",1237500,2673,1529935648.1481
"[[452,1,768],[452,1,3072],[768,3072],[768]]",38888.888888889,84,1526698611.1111
"[[18,3125],[384,3125],[384]]",938888.88888889,2028,1526474537.037
"[[512,1,768],[2304,768],[2304]]",47685.185185185,103,1525798148.1481
"[[49,1,768],[3072,768],[3072]]",255092.59259259,551,1522100462.963
"[[60,1,768],[60,1,512],[768,512],[768]]",1373611.1111111,2967,1521819907.4074
"[[64,1,768],[64,1,512],[768,512],[768]]",1298148.1481481,2804,1519724537.037
"[[21,6488],[768,6488],[768]]",185648.14814815,401,1519388425.9259
"[[49,1,768],[49,1,3072],[768,3072],[768]]",239814.81481481,518,1515192592.5926
