name,category,pointwise unary,pointwise binary,inplace,essential,autograd,emulatable,emulation notes,undocumented,tech-debt,notes
clamp_max_,,,TRUE,TRUE,,,,,,,
clamp_min,,,TRUE,,,,,,,,
clamp_min_,,,TRUE,TRUE,,,,,,,
clone,,TRUE,,,,,,,,,
coalesce,,,,,,,,,,,
contiguous,,TRUE,,,,,,,,,
copy_,,,TRUE,TRUE,,,,,,,
cos,,TRUE,,,,,,,,,
cos_,,TRUE,,TRUE,,,,,,,
cosh,,TRUE,,,,,,,,,
cosh_,,TRUE,,TRUE,,,,,,,
cpu,,TRUE,,,,,TRUE,to,,,
cross,,,,,,,,,,,
cuda,,TRUE,,,,,TRUE,to,,,
cumprod,reduction,,,,,,,,,,
cumsum,reduction,,,,,,,,,,
data,,,,,,,,,TRUE,crazy,
data_ptr,,,,,,,,,,,
dense_dim,,,,,,,,,,sparse,
det,,,,,,,,,,,
detach,,,,,,,,,,,
detach_,,,,TRUE,,,,,,,
device,,,,,,,,,,,
diag,,,,,,,,,,,
diag_embed,,,,,,,,,,,
diagflat,,,,,,,,,,,
diagonal,,,,,,,,,,,
digamma,,TRUE,,,,,,,,,
digamma_,,TRUE,,TRUE,,,,,,,
dim,,,,,,,,,,,
dist,,,,,,,,,,,
div,,TRUE,,,,,,,,,
div_,,TRUE,,TRUE,,,,,,,
dot,,,,,,,,,,,
double,,TRUE,,,,,,,,,
dtype,,TRUE,,,,,,,,,is an attribute
eig,,,,,,,,,,,
element_size,,,,,,,,,,,
eq,,,TRUE,,,,,,,,
eq_,,,TRUE,TRUE,,,,,,,
equal,,,TRUE,,,,,,,,
erf,,TRUE,,,,,,,,,
erf_,,TRUE,,TRUE,,,,,,,
erfc,,TRUE,,,,,,,,,
erfc_,,TRUE,,TRUE,,,,,,,
erfinv,,TRUE,,,,,,,,,
erfinv_,,TRUE,,TRUE,,,,,,,
exp,,TRUE,,,,,,,,,
exp_,,TRUE,,TRUE,,,,,,,
expand,,,,,,,,,,,
expand_as,,,,,,,,,,,
expm1,,TRUE,,,,,,,,,
expm1_,,TRUE,,TRUE,,,,,,,
exponential_,,TRUE,,,,,,,,,
fft,,,,,,,,,,,
fill_,,,,TRUE,,,,,,,
flatten,,,,,,,,,,,
flip,,,,,,,,,,,
float,,TRUE,,,,,TRUE,to,,,
floor,,TRUE,,,,,,,,,
floor_,,TRUE,,TRUE,,,TRUE,,,,
fmod,,TRUE,,,,,,,,,
fmod_,,TRUE,,TRUE,,,TRUE,,,,
frac,,TRUE,,,,,,,,,
frac_,,TRUE,,TRUE,,,TRUE,,,,
gather,,,,,,,,,,,
ge,,,TRUE,,,,,,,,
ge_,,,TRUE,TRUE,,,,,,,
gels,,,,,,,,,,,
geometric_,,,,TRUE,,,,,,,why no non-inplace version?
geqrf,,,,,,,,,,,
ger,,,,,,,,,,,
gesv,,,,,,,,,,,
get_device,,,,,,,,,,,
grad,,,,,,,,,,,
grad_fn,,,,,,,,,,,
gt,,,TRUE,,,,,,,,
gt_,,,TRUE,TRUE,,,,,,,
half,,TRUE,,,,,,,,,
hardshrink,,TRUE,,,,,,,,,
histc,,,,,,,,,,,
ifft,fft,,,,,,,,,,
index_add,index_select,,,,,,TRUE,use masked,,,
index_add_,index_select,,,TRUE,,,TRUE,use masked,,,
index_copy,index_select,,,,,,TRUE,use masked,,,
index_copy_,index_select,,,TRUE,,,TRUE,use masked,,,
index_fill,index_select,,,,,,TRUE,use masked,,,
index_fill_,index_select,,,TRUE,,,TRUE,use masked,,,
index_put,index_select,,,,,,TRUE,use masked,,,
index_put_,index_select,,,TRUE,,,TRUE,use masked,,,
index_select,index_select,,,,,,TRUE,use masked,,,
indices,,,,,,,,,,,
int,,TRUE,,,,,TRUE,to,,,
inverse,,,,,,,,,,,
irfft,fft,,,,,,,,,,
is_coalesced,,,,,,,,,,,
is_complex,,,,,,,,,,,
is_contiguous,,,,,,,,,,,
is_cuda,,,,,,,,,,,
is_distributed,,,,,,,,,,,
is_floating_point,,,,,,,,,,,
is_leaf,,,,,,,,,,,
is_nonzero,,,,,,,,,,,
is_pinned,,,,,,,,,,,
is_same_size,,,,,,,,,,,
is_set_to,,,,,,,,,,,
is_shared,,,,,,,,,,,
is_signed,,,,,,,,,,,
is_sparse,,,,,,,,,,,
isclose,reduction,,,,,,TRUE,,,,
item,,,,,,,,,,,
kthvalue,,,,,,,,,,,
layout,,,,,,,,,,,
le,,,TRUE,,,,TRUE,,,,
le_,,,TRUE,TRUE,,,,,,,
lerp,pointwise ternary,,,,,,,,,,
lerp_,pointwise ternary,,,TRUE,,,TRUE,,,,
lgamma,,TRUE,,,,,,,,,
lgamma_,,TRUE,,TRUE,,,TRUE,,,,
log,,TRUE,,,,,,,,,
log10,,TRUE,,,,,,,,,
log10_,,TRUE,,TRUE,,,TRUE,,,,
log1p,,TRUE,,,,,,,,,
log1p_,,TRUE,,TRUE,,,TRUE,,,,
log2,,TRUE,,,,,,,,,
log2_,,TRUE,,TRUE,,,TRUE,,,,
log_,,TRUE,,TRUE,,,TRUE,,,,why no non-inplace version?
log_normal_,,TRUE,,TRUE,,,TRUE,,,,
log_softmax,,,,,,,,,,,
logdet,,,,,,,,,,,
logsumexp,,,,,,,,,,,
long,,TRUE,,,,,TRUE,to,,,
lt,,TRUE,,,,,,,,,
lt_,,TRUE,,TRUE,,,TRUE,,,,
map2_,,,,TRUE,,,,,TRUE,,
map_,,TRUE,,TRUE,,,,,,,
masked_fill,masked_select,,,,,,,,,,
masked_fill_,masked_select,,,TRUE,,,TRUE,,,,
masked_scatter,masked_select,,,,,,,,,,
masked_scatter_,masked_select,,,TRUE,,,TRUE,,,,
masked_select,masked_select,,,,,,,,,,
matmul,matmul,,,,,,,,,,
matrix_power,,,,,,,,,,,
max,,,TRUE,,,,,,,,
mean,reduction,,,,,,,,,,
median,reduction,,,,,,,,,,
min,,,TRUE,,,,,,,,
mm,matmul,,,,,,,,,,
mode,reduction,,,,,,,,,,
mul,,,TRUE,,,,,,,,
mul_,,,TRUE,TRUE,,,TRUE,,,,
multinomial,,,,,,,,,,,
mv,,,,,,,,,,,
mvlgamma,,TRUE,,,,,,,,,
mvlgamma_,,TRUE,,TRUE,,,TRUE,,,,
name,,,,,,,,,,,
narrow,,,,,,,,,,,
narrow_copy,,,,,,,,,,,
ndimension,,,,,,,,,,,
ne,,,TRUE,,,,,,,,
ne_,,,TRUE,TRUE,,,TRUE,,,,
neg,,TRUE,,,,,,,,,
neg_,,TRUE,,TRUE,,,TRUE,,,,
nelement,,,,,,,,,,,
new,,,,,,,,,,,
new_empty,new_*,,,,,,,,,,
new_full,new_*,,,,,,,,,,
new_ones,new_*,,,,,,TRUE,,,,
new_tensor,new_*,,,,,,,,,,
new_zeros,new_*,,,,,,TRUE,,,,
nonzero,,TRUE,,,,,,,,,
norm,reduction,,,,,,,,,,
normal_,,TRUE,,TRUE,,,,,,,
numel,,,,,,,,,,,
numpy,,,,,,,,,,,
orgqr,blas,,,,,,,,,,
ormqr,blas,,,,,,,,,,
output_nr,,,,,,,,,,,
permute,,,,,,,,,,,
pin_memory,,,,,,,,,,,
pinverse,,,,,,,,,,,
polygamma,pointwise unary,TRUE,,,,,,,,,
polygamma_,pointwise unary,TRUE,,TRUE,,,TRUE,,,,
potrf,blas,,,,,,,,,,
potri,blas,,,,,,,,,,
potrs,blas,,,,,,,,,,
pow,,TRUE,,,,,,,,,
pow_,,TRUE,,TRUE,,,TRUE,,,,
prelu,,TRUE,,,,,,,,,
prod,reduction,,,,,,,,,,
pstrf,blas,,,,,,,,,,
put_,storage,,,TRUE,,,,,,,
qr,lapack,,,,,,,,,,
random_,,TRUE,,TRUE,,,,,,,"why no non-inplace version (it's torch.new_rand, if that exists)"
reciprocal,,TRUE,,,,,,,,,
reciprocal_,,TRUE,,TRUE,,,TRUE,,,,
record_stream,,,,,,,,,,,
register_hook,,,,,,,,,,,
reinforce,,,,,,,,,,deprecated,
relu,,TRUE,,,,,,,,,
relu_,,TRUE,,TRUE,,,TRUE,,,,
remainder,,TRUE,,,,,,,,,
remainder_,,TRUE,,TRUE,,,TRUE,,,,
renorm,,TRUE,,,,,,,,,
renorm_,,TRUE,,TRUE,,,TRUE,,,,
repeat,,,,,,,,,,,
requires_grad,,,,,,,,,,,
requires_grad_,,,,TRUE,,,,,,,
reshape,,,,,,,,,,,
reshape_as,,,,,,,,,,,
resize,,,,,,,,,,,
resize_,,,,TRUE,,,TRUE,,,,
resize_as,,,,,,,,,,,
resize_as_,,,,TRUE,,,,,,,
retain_grad,,,,,,,,,,,
rfft,fft,,,,,,,,,,
roll,,,,,,,,,,,
rot90,,,,,,,,,,,
round,,TRUE,,,,,,,,,
round_,,TRUE,,TRUE,,,TRUE,,,,
rsqrt,,TRUE,,,,,,,,,
rsqrt_,,TRUE,,TRUE,,,TRUE,,,,
scatter,,,,,,,,,,,
scatter_,,,,TRUE,,,TRUE,,,,
scatter_add,,,,,,,,,,,
scatter_add_,,,,TRUE,,,TRUE,,,,
select,,,,,,,,,,,
set_,,,,TRUE,,,,,,,
shape,,,,,,,,,,,
share_memory_,,,,,,,,,,,
short,,,,,,,,,,,
sigmoid,,TRUE,,,,,,,,,
sigmoid_,,TRUE,,TRUE,,,TRUE,,,,
sign,,TRUE,,,,,,,,,
sign_,,TRUE,,TRUE,,,TRUE,,,,
sin,,TRUE,,,,,,,,,
sin_,,TRUE,,TRUE,,,TRUE,,,,
sinh,,TRUE,,,,,,,,,
sinh_,,TRUE,,TRUE,,,TRUE,,,,
size,,,,,,,,,,,
slogdet,blas,,,,,,,,,,
smm,,,,,,,,,,sparse,
softmax,,,,,,,,,TRUE,,
solve,,,,,,,,,,,
sort,,,,,,,,,,,
sparse_dim,,,,,,,,,,sparse,
sparse_mask,,,,,,,,,,sparse,Not sure if tech-debt
sparse_resize_,,,,,,,,,,sparse,
sparse_resize_and_clear_,,,,,,,,,,sparse,
split,,,,,,,,,,,
split_with_sizes,,,,,,,,,,,
sqrt,,TRUE,,,,,,,,,
sqrt_,,TRUE,,TRUE,,,TRUE,,,,
squeeze,,,,,,,,,,,
squeeze_,,,,TRUE,,,TRUE,,,,
sspaddmm,,,,,,,,,,sparse,
std,reduction,,,,,,,,,,
stft,fft,,,,,,,,TRUE,,
storage,,,,,,,,,,,
storage_offset,,,,,,,,,,,
storage_type,,,,,,,,,,,
stride,,,,,,,,,,,
sub,,TRUE,,,,,,,,,
sub_,,TRUE,,TRUE,,,TRUE,,,,
sum,reduction,,,,,,,,,,
sum_to_size,,,,,,,,,,,
svd,blas,,,,,,,,,,
symeig,blas,,,,,,,,,,
t,,,,,,,,,,,
t_,,,,TRUE,,,TRUE,,,,
take,,,,,,,,,,,
tan,,TRUE,,,,,,,,,
tan_,,TRUE,,TRUE,,,TRUE,,,,
tanh,,TRUE,,,,,,,,,
tanh_,,TRUE,,TRUE,,,TRUE,,,,
to,,,,,,,,,,,"Very, very overloaded"
to_dense,,,,,,,TRUE,to,,,Maybe we should have to_layout?
to_sparse,,,,,,,TRUE,to,,,Maybe we should have to_layout?
tolist,,,,,,,,,,,
topk,,,,,,,,,,,
trace,,,,,,,,,,,
transpose,,,,,,,,,,,
