,m,k,n,eval_batch_size,init_batch_size,alg_id,sparse_latency (ms),dense_latency (ms),speedup (d/s)
0,768,3072,768,4,4,0,0.05879920469596982,0.07593026384711266,1.291348484043646
1,768,3072,768,16,16,0,0.18092048331163824,0.2609256128780544,1.4422115622397829
2,768,3072,768,64,64,0,0.6668518320657313,0.9897756110876799,1.4842511686915754
3,768,3072,768,256,256,0,2.600246607325971,3.9097913308069105,1.503623279342586
4,3072,768,3072,4,4,2,0.26859694439917803,0.2653045430779457,0.9877422234694551
5,3072,768,3072,16,16,1,1.0169409005902708,1.0112516838125885,0.9944055581062969
6,3072,768,3072,64,64,1,3.9876255020499234,4.04442205093801,1.0142432003353599
7,3072,768,3072,256,256,1,16.062488337047398,16.25554792117327,1.0120192824470784
