,m,k,n,dtype,sparse_latency (ms),dense_latency (ms),speedup (d/s),correct
0,3072,1024,16384,torch.float16,0.5153444522041828,0.45370343420654535,0.8812690923483775,True
1,4096,1024,16384,torch.float16,0.6706090528946369,0.5789696732535958,0.8642123759368716,True
2,1024,1024,16384,torch.float16,0.18011149022728204,0.1459582969546318,0.8111878651784958,True
3,1024,4096,16384,torch.float16,0.368550470771268,0.5110625885426998,1.388069455075363,True
