dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,convit_base,64,2.776896,38.823087,176.398532,0.447609,1.830711,4.089975,510,1,0,0
cuda,convit_base,64,2.411138,38.898448,170.198847,0.447609,1.830711,4.089975,510,1,0,0
cuda,convit_base,64,2.321965,38.868540,162.329132,0.447609,1.830711,4.089975,510,1,0,0
