dev,name,batch_size,speedup,abs_latency
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.478761,14.066748
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.805679,84.514578
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.584847,310.988440
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",2.366901,3.056761
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.310507,8.666243
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.462970,22.461328
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.689897,4.634689
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.688986,23.049385
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.821496,68.594355
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.280278,16.249907
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.731509,88.189151
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.834476,268.766956
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",2.226957,3.134478
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.078814,10.483138
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.261615,25.909016
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.398022,5.566731
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.538292,25.217798
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.695641,73.585935
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.066179,19.440315
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.555080,98.102634
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.693205,291.114813
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",2.413546,2.869762
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.084329,10.416797
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.068277,30.622029
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.772795,4.233590
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.278861,30.332570
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.254117,99.498006
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.395120,14.820651
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.316070,115.804374
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.263547,390.080831
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",2.252448,3.232050
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.615793,7.003706
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.615345,20.332568
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.751860,4.520761
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.626243,23.950771
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.628277,76.733048
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.373044,15.147927
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.674078,91.144183
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.634282,301.665202
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",2.135160,3.429281
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.656726,6.837474
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.751094,18.751221
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.550387,5.104076
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.662053,23.415765
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.793783,69.652256
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.188322,17.529707
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.710012,89.261247
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.810462,272.256060
