test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_fft_irfft_cpu_float64>, 'cpu', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58bb0>], **kwargs: [], time taken: 0.013520956039428711 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_fft_irfftn_cpu_complex128>, 'cpu', torch.complex128, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58be0>], **kwargs: [], time taken: 0.04084920883178711 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_fft_irfftn_cpu_float64>, 'cpu', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58be0>], **kwargs: [], time taken: 0.017867326736450195 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_fft_rfft_cpu_float64>, 'cpu', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58a60>], **kwargs: [], time taken: 0.015381813049316406 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_fft_rfftn_cpu_float64>, 'cpu', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58af0>], **kwargs: [], time taken: 0.019340038299560547 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_linalg_householder_product_cpu_complex128>, 'cpu', torch.complex128, <torch.testing._internal.common_methods_invocations.OpInfo object at 0x7f9231f6d9a0>], **kwargs: [], time taken: 0.3204538822174072 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_linalg_householder_product_cpu_float64>, 'cpu', torch.float64, <torch.testing._internal.common_methods_invocations.OpInfo object at 0x7f9231f6d9a0>], **kwargs: [], time taken: 0.12671494483947754 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_linalg_svd_cpu_complex128>, 'cpu', torch.complex128, <torch.testing._internal.common_methods_invocations.OpInfo object at 0x7f9231f27fd0>], **kwargs: [], time taken: 0.35346007347106934 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_linalg_svd_cpu_float64>, 'cpu', torch.float64, <torch.testing._internal.common_methods_invocations.OpInfo object at 0x7f9231f27fd0>], **kwargs: [], time taken: 0.13983941078186035 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_svd_cpu_complex128>, 'cpu', torch.complex128, <torch.testing._internal.common_methods_invocations.OpInfo object at 0x7f9231f27f40>], **kwargs: [], time taken: 0.3450324535369873 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCPU testMethod=test_fn_gradgrad_svd_cpu_float64>, 'cpu', torch.float64, <torch.testing._internal.common_methods_invocations.OpInfo object at 0x7f9231f27f40>], **kwargs: [], time taken: 0.13805079460144043 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_fft_cuda_complex128>, 'cuda:0', torch.complex128, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58970>], **kwargs: [], time taken: 0.08026695251464844 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_fft_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58970>], **kwargs: [], time taken: 0.04271721839904785 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_fftn_cuda_complex128>, 'cuda:0', torch.complex128, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58a00>], **kwargs: [], time taken: 0.09619021415710449 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_fftn_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58a00>], **kwargs: [], time taken: 0.052005767822265625 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_hfft_cuda_complex128>, 'cuda:0', torch.complex128, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58a30>], **kwargs: [], time taken: 0.08726024627685547 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_hfft_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58a30>], **kwargs: [], time taken: 0.03949618339538574 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_ifft_cuda_complex128>, 'cuda:0', torch.complex128, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58b20>], **kwargs: [], time taken: 0.08138513565063477 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_ifft_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58b20>], **kwargs: [], time taken: 0.0499110221862793 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_ifftn_cuda_complex128>, 'cuda:0', torch.complex128, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58b50>], **kwargs: [], time taken: 0.0988311767578125 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_ifftn_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58b50>], **kwargs: [], time taken: 0.05234527587890625 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_ihfft_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58b80>], **kwargs: [], time taken: 0.058664560317993164 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_irfft_cuda_complex128>, 'cuda:0', torch.complex128, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58bb0>], **kwargs: [], time taken: 0.07800936698913574 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_irfft_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58bb0>], **kwargs: [], time taken: 0.03540492057800293 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_irfftn_cuda_complex128>, 'cuda:0', torch.complex128, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58be0>], **kwargs: [], time taken: 0.0954287052154541 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_irfftn_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58be0>], **kwargs: [], time taken: 0.0436549186706543 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_rfft_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58a60>], **kwargs: [], time taken: 0.04172778129577637 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_fft_rfftn_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.SpectralFuncInfo object at 0x7f9231f58af0>], **kwargs: [], time taken: 0.04077339172363281 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_linalg_householder_product_cuda_complex128>, 'cuda:0', torch.complex128, <torch.testing._internal.common_methods_invocations.OpInfo object at 0x7f9231f6d9a0>], **kwargs: [], time taken: 0.8828790187835693 s
test_fn_gradgrad, *args: [<__main__.TestGradientsCUDA testMethod=test_fn_gradgrad_linalg_householder_product_cuda_float64>, 'cuda:0', torch.float64, <torch.testing._internal.common_methods_invocations.OpInfo object at 0x7f9231f6d9a0>], **kwargs: [], time taken: 0.3375270366668701 s
